,Compound,Date,Negative,Neutral,Positive,Source,Text,Tweets Ago
0,0.0,Mon Nov 27 20:00:32 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@POTUS on tax reform: “We’re going to be bringing back into this country probably in excess of $4 trillion dollars… https://t.co/sSnwoEbfxB,1
1,0.0,Mon Nov 27 19:33:36 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Prince Harry: Princess Diana and Meghan Markle would’ve been “thick as thieves.” https://t.co/w9aEajjlNI,2
2,0.5574,Mon Nov 27 19:32:01 +0000 2017,0.787,0.0,0.213,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Will Cyntoia Brown be paroled? Ace lawyer joins team to free sex-trafficked teen serving life sentence for killing… https://t.co/w9pmaE0vAk,3
3,0.6486,Mon Nov 27 19:29:38 +0000 2017,0.739,0.0,0.261,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Prince Harry: Meghan Markle’s engagement ring includes diamonds from Princess Diana’s collection “to make sure that… https://t.co/vPOFy5Lujd,4
4,0.0,Mon Nov 27 19:24:23 +0000 2017,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Meghan Markle on meeting Queen Elizabeth II: “She’s an incredible woman.” #PrinceHarry https://t.co/ScsSKgXV0Y,5
5,0.4588,Mon Nov 27 19:16:35 +0000 2017,0.8,0.0,0.2,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Watch: Prince Harry and Meghan Markle discuss their relationship after announcing engagement https://t.co/OVp5eDXZcp,6
6,0.4588,Mon Nov 27 18:58:31 +0000 2017,0.769,0.0,0.231,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Prince Harry and Meghan Markle Speak to Media After Engagement https://t.co/6HT18fi9GB,7
7,-0.1531,Mon Nov 27 18:48:36 +0000 2017,0.833,0.167,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@POTUS Meets with Senators as Tax Vote Looms https://t.co/V3uR0iOgtJ,8
8,0.0,Mon Nov 27 18:48:10 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Former Conyers staffer Melanie Sloan: ""There needs to be a process by which members of Congress are held accountabl… https://t.co/QD9haXPG2Q",9
9,0.0,Mon Nov 27 18:45:45 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Former Conyers staffer Melanie Sloan: ""I did in fact speak out at the time... I obviously spoke to my supervisor wh… https://t.co/CzHUk5glho",10
10,0.0,Mon Nov 27 18:43:01 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Former Conyers staffer Melanie Sloan: ""I was called to go into his office and he was walking around in his underwea… https://t.co/iFxse8TRWb",11
11,-0.4404,Mon Nov 27 18:42:00 +0000 2017,0.805,0.195,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Advertisers flee YouTube over videos exploiting children, 'disturbing' autofill results (via @christocarbone)… https://t.co/opwl9cPZhe",12
12,0.0,Mon Nov 27 18:41:03 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Former Conyers staffer Melanie Sloan: ""Over time my relationship with Mr. Conyers deteriorated as he became increas… https://t.co/81TsWaIjrT",13
13,0.4019,Mon Nov 27 18:32:07 +0000 2017,0.87,0.0,0.13,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@JessicaTarlov on the @SenFranken press conference: ""I think what Al Franken did right there was definitely for Al… https://t.co/ldZqBIulgQ",14
14,-0.6557,Mon Nov 27 18:29:16 +0000 2017,0.708,0.292,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@SenFranken: ""This has been a shock and it's been extremely humbling. I am embarrassed. I feel ashamed."" https://t.co/9PiGOOLMde",15
15,0.0,Mon Nov 27 18:25:49 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@SenFranken: ""I've been trying to take responsibility by apologizing."" https://t.co/6KoUHaIv0g",16
16,-0.5267,Mon Nov 27 18:24:38 +0000 2017,0.841,0.159,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@SenFranken: ""There are some women... who feel that I have done something disrespectful and that's hurt them and f… https://t.co/XcGgyA8ELc",17
17,0.0,Mon Nov 27 18:21:24 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@SenFranken: ""I've let a lot of people down. The people of Minnesota, my colleagues, my staff... and everyone who… https://t.co/y62A1R4ic1",18
18,0.1531,Mon Nov 27 18:13:23 +0000 2017,0.789,0.092,0.118,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",A diner cook has touched thousands of hearts after video was posted online showing her help cut up a man’s pancakes… https://t.co/9h77JPHJ6T,19
19,0.0459,Mon Nov 27 18:01:53 +0000 2017,0.735,0.153,0.113,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Melania Trump slams 'salacious' Vanity Fair for saying she didn't want to be first lady - via @brookefoxnews
https://t.co/YhXAPN8WGs",20
20,0.0,Mon Nov 27 20:00:32 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@POTUS on tax reform: “We’re going to be bringing back into this country probably in excess of $4 trillion dollars… https://t.co/sSnwoEbfxB,21
21,0.0,Mon Nov 27 19:33:36 +0000 2017,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Prince Harry: Princess Diana and Meghan Markle would’ve been “thick as thieves.” https://t.co/w9aEajjlNI,22
22,0.5574,Mon Nov 27 19:32:01 +0000 2017,0.787,0.0,0.213,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Will Cyntoia Brown be paroled? Ace lawyer joins team to free sex-trafficked teen serving life sentence for killing… https://t.co/w9pmaE0vAk,23
23,0.6486,Mon Nov 27 19:29:38 +0000 2017,0.739,0.0,0.261,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Prince Harry: Meghan Markle’s engagement ring includes diamonds from Princess Diana’s collection “to make sure that… https://t.co/vPOFy5Lujd,24
24,0.0,Mon Nov 27 19:24:23 +0000 2017,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Meghan Markle on meeting Queen Elizabeth II: “She’s an incredible woman.” #PrinceHarry https://t.co/ScsSKgXV0Y,25
